,Month,Number of users
829,"Aug 25, 2018",27953017
830,"Aug 24, 2018",27928102
831,"Aug 23, 2018",27899774
832,"Aug 22, 2018",27887945
833,"Aug 21, 2018",27862825
834,"Aug 20, 2018",27854758
835,"Aug 19, 2018",27811254
836,"Aug 18, 2018",27786902
837,"Aug 17, 2018",27772301
838,"Aug 16, 2018",27723977
839,"Aug 15, 2018",27707212
840,"Aug 14, 2018",27668860
841,"Aug 13, 2018",27628301
842,"Aug 12, 2018",27608109
843,"Aug 11, 2018",27550271
844,"Aug 10, 2018",27531582
845,"Aug 09, 2018",27435348
846,"Aug 08, 2018",27405577
847,"Aug 06, 2018",27274485
848,"Aug 01, 2018",27029819
849,"Jul 28, 2018",26821446
850,"Jul 24, 2018",26621015
851,"Jul 19, 2018",26402293
852,"Jul 15, 2018",26269542
853,"Jul 11, 2018",26143287
854,"Jul 07, 2018",26002911
855,"Jul 02, 2018",25817295
856,"Jun 28, 2018",25646590
857,"Jun 24, 2018",25528628
858,"Jun 20, 2018",25406196
859,"Jun 16, 2018",25330948
860,"Jun 11, 2018",25248022
861,"Jun 07, 2018",25170037
862,"Jun 02, 2018",25077722
863,"May 29, 2018",24987926
864,"May 25, 2018",24917053
865,"May 21, 2018",24840357
866,"May 16, 2018",24766914
867,"May 12, 2018",24695265
868,"May 07, 2018",24617482
869,"May 03, 2018",24533581
870,"Apr 25, 2018",24359095
871,"Apr 21, 2018",24282954
872,"Apr 16, 2018",24208592
873,"Apr 12, 2018",24134804
874,"Apr 08, 2018",24074017
875,"Apr 04, 2018",24003136
876,"Mar 30, 2018",23933319
877,"Mar 26, 2018",23855295
878,"Mar 22, 2018",23782053
879,"Mar 18, 2018",23708988
880,"Mar 13, 2018",23624840
881,"Mar 09, 2018",23541841
882,"Mar 05, 2018",23454702
883,"Feb 28, 2018",23360712
884,"Feb 24, 2018",23266988
885,"Feb 19, 2018",23173715
886,"Feb 15, 2018",23068639
887,"Feb 11, 2018",22983191
888,"Feb 07, 2018",22883357
889,"Feb 02, 2018",22775834
890,"Jan 29, 2018",22649022
891,"Jan 25, 2018",22518982
892,"Jan 21, 2018",22421059
893,"Jan 17, 2018",22258673
894,"Jan 13, 2018",22080990
895,"Jan 09, 2018",21915902
896,"Jan 05, 2018",21696080
897,"Dec 31, 2017",21506448
898,"Dec 27, 2017",21326723
899,"Dec 23, 2017",21127708
900,"Dec 19, 2017",20843609
901,"Dec 14, 2017",20538020
902,"Dec 10, 2017",20193317
903,"Dec 07, 2017",19859625
904,"Dec 03, 2017",19610796
905,"Nov 29, 2017",19336323
906,"Nov 25, 2017",19100508
907,"Nov 21, 2017",18948510
908,"Nov 17, 2017",18818280
909,"Nov 13, 2017",18685373
910,"Nov 09, 2017",18557651
911,"Nov 05, 2017",18390054
912,"Nov 01, 2017",18226988
913,"Oct 28, 2017",18059350
914,"Oct 24, 2017",17939646
915,"Oct 20, 2017",17785376
916,"Oct 15, 2017",17639093
917,"Oct 11, 2017",17497046
918,"Oct 08, 2017",17423034
919,"Oct 04, 2017",17332159
920,"Sep 30, 2017",17255044
921,"Sep 27, 2017",17191431
922,"Sep 24, 2017",17104249
923,"Sep 15, 2017",16896609
924,"Sep 12, 2017",16817240
925,"Sep 08, 2017",16710035
926,"Sep 04, 2017",16584713
927,"Aug 31, 2017",16461924
928,"Aug 26, 2017",16337365
929,"Aug 23, 2017",16253048
930,"Aug 19, 2017",16126574
931,"Aug 15, 2017",16003014
932,"Aug 10, 2017",15885221
933,"Aug 06, 2017",15783380
934,"Aug 01, 2017",15695040
935,"Jul 10, 2017",15198322
936,"Jul 05, 2017",15087440
937,"Jul 02, 2017",14992878
938,"Jun 27, 2017",14864429
939,"Jun 22, 2017",14759006
940,"Jun 15, 2017",14587846
941,"May 31, 2017",14191518
942,"May 16, 2017",13754432
943,"May 01, 2017",13419295
944,"Apr 16, 2017",13157931
945,"Apr 01, 2017",12905207
946,"Mar 17, 2017",12639003
947,"Mar 02, 2017",12352066
948,"Feb 15, 2017",12009557
949,"Jan 31, 2017",11676600
950,"Jan 16, 2017",11353117
951,"Jan 01, 2017",10992405
952,"Dec 17, 2016",10691889
953,"Dec 02, 2016",10314020
954,"Nov 17, 2016",9919854
955,"Nov 02, 2016",9559978
956,"Oct 18, 2016",9263916
957,"Oct 03, 2016",8999227
958,"Sep 18, 2016",8765726
959,"Sep 03, 2016",8555129
960,"Aug 19, 2016",8364568
961,"Aug 04, 2016",8183832
962,"Jul 20, 2016",8015050
963,"Jul 05, 2016",7846764
964,"Jun 20, 2016",7681746
965,"Jun 05, 2016",7514984
966,"May 21, 2016",7307727
967,"May 06, 2016",7116743
968,"Apr 21, 2016",6910345
969,"Apr 06, 2016",6737269
970,"Mar 22, 2016",6530896
971,"Mar 07, 2016",6319893
972,"Feb 21, 2016",6130000
973,"Feb 06, 2016",5953042
974,"Jan 22, 2016",5780498
975,"Jan 07, 2016",5528591
976,"Dec 23, 2015",5343955
977,"Dec 08, 2015",5132084
978,"Nov 23, 2015",4945865
979,"Nov 08, 2015",4782986
980,"Oct 24, 2015",4619591
981,"Oct 09, 2015",4478025
982,"Sep 24, 2015",4325864
983,"Sep 09, 2015",4208444
984,"Aug 25, 2015",4113830
985,"Aug 10, 2015",3961954
986,"Jul 26, 2015",3865405
987,"Jul 11, 2015",3739207
988,"Jun 26, 2015",3637953
989,"Jun 11, 2015",3551064
990,"May 27, 2015",3472705
991,"May 12, 2015",3391659
992,"Apr 27, 2015",3315533
993,"Apr 12, 2015",3239625
994,"Mar 28, 2015",3161766
995,"Mar 13, 2015",3094389
996,"Feb 26, 2015",3020872
997,"Feb 11, 2015",2922162
998,"Jan 27, 2015",2849577
999,"Jan 12, 2015",2779043
1000,"Dec 28, 2014",2710429
1001,"Dec 13, 2014",2643050
1002,"Nov 28, 2014",2569340
1003,"Nov 13, 2014",2493727
1004,"Oct 29, 2014",2417787
1005,"Oct 14, 2014",2342157
1006,"Sep 29, 2014",2267085
1007,"Sep 14, 2014",2193477
1008,"Aug 30, 2014",2107985
1009,"Aug 15, 2014",2027773
1010,"Jul 31, 2014",1937615
1011,"Jul 16, 2014",1860837
1012,"Jul 01, 2014",1795938
1013,"Jun 16, 2014",1735471
1014,"Jun 01, 2014",1675841
1015,"May 17, 2014",1620557
1016,"May 02, 2014",1568687
1017,"Apr 17, 2014",1512017
1018,"Apr 02, 2014",1455667
1019,"Mar 18, 2014",1395653
1020,"Mar 03, 2014",1334887
1021,"Feb 16, 2014",1256708
1022,"Feb 01, 2014",1169501
1023,"Jan 17, 2014",1069475
1024,"Jan 02, 2014",976051
1025,"Dec 18, 2013",888153
1026,"Dec 03, 2013",755687
1027,"Nov 18, 2013",583044
1028,"Nov 03, 2013",521533
1029,"Oct 19, 2013",480756
1030,"Oct 04, 2013",458047
1031,"Sep 19, 2013",437254
1032,"Sep 04, 2013",419671
1033,"Aug 20, 2013",398725
1034,"Aug 05, 2013",376431
1035,"Jul 21, 2013",358155
1036,"Jul 06, 2013",341371
1037,"Jun 21, 2013",320559
1038,"Jun 06, 2013",301864
1039,"May 22, 2013",281617
1040,"May 07, 2013",258958
1041,"Apr 22, 2013",233959
1042,"Apr 07, 2013",189100
1043,"Mar 23, 2013",151985
1044,"Mar 08, 2013",134908
1045,"Feb 21, 2013",121141
1046,"Feb 06, 2013",108911
1047,"Jan 22, 2013",97978
1048,"Jan 07, 2013",82264
1049,"Dec 23, 2012",70669
1050,"Dec 08, 2012",49068
1051,"Nov 23, 2012",43500
1052,"Nov 08, 2012",38724
1053,"Oct 24, 2012",34857
1054,"Oct 09, 2012",30263
1055,"Sep 24, 2012",25702
1056,"Sep 09, 2012",22353
1057,"Aug 25, 2012",19477
1058,"Aug 10, 2012",16625
1059,"Jul 26, 2012",14609
1060,"Jul 11, 2012",12257
1061,"Jun 26, 2012",10473
1062,"Jun 11, 2012",8946
1063,"May 27, 2012",7697
1064,"May 12, 2012",6612
1065,"Apr 27, 2012",5566
1066,"Apr 12, 2012",4348
1067,"Mar 28, 2012",3415
1068,"Mar 13, 2012",2794
1069,"Feb 27, 2012",2213
1070,"Feb 12, 2012",1772
1071,"Jan 28, 2012",1242
1072,"Jan 13, 2012",740
1073,"Dec 29, 2011",400
1074,"Dec 14, 2011",153
1075,"Nov 29, 2011",2
