,Year,Rating,Viewers (in thousands)
335,"December 31, 2018 Texas A&M vs. North Carolina State (Gator) (ESPN)",2.7,5142
336,"December 28, 2018 West Virginia vs. Syracuse (Orlando) (ESPN)",2.8,4828
337,"December 31, 2018 Oklahoma State vs. Missouri (Liberty) (ESPN)",2.3,3830
338,"December 27, 2018 Wisconsin vs. Miami (Pinstripe) (ESPN)",2.3,3794
339,"December 31, 2018 Oregon vs. Michigan State (SanFrancisco) (FOX)",2.3,3785
340,"December 27, 2018 Baylor vs. Vanderbilt (Texas) (ESPN)",2,3343
341,"December 15, 2018 Fresno State vs. Arizona State (Las Vegas) (ABC)",2.25,3334
342,"January 1, 2019 Iowa vs. Mississippi State (Outback) (ESPN2)",1.8,3256
343,"December 26, 2018 Texas Christian vs Cal (Cactus) (ESPN)",1.6,2700
344,"December 26, 2018 Minnesota vs Georgia Tech (Detriot) (ESPN)",1.6,2686
345,"December 31, 2018 Cincinnati vs. Virginia Tech (Military) (ESPN)",1.7,2663
346,"December 31, 2018 Stanford vs. Pittsburgh (Sun) (CBS)",1.8,2617
347,"December 22, 2018 Army vs. Houston (Armed Forces) (ESPN)",1.6,2577
348,"December 28, 2018 Purdue vs. Auburn (Music City) (ESPN)",1.6,2573
349,"December 29, 2018 South Carolina vs. Virginia (Belk) (ABC)",1.65,2550
350,"December 22, 2018 Wake Forest vs. Memphis (Birmingham) (ESPN)",1.6,2533
351,"December 15, 2018 North Carolina A&T vs. Alcorn State (Celebration) (ABC)",1.6,2345
352,"December 27, 2018 Duke vs. Temple (Independence) (ESPN)",1.2,1801
353,"December 31, 2018 Northwestern vs Utah (Holiday) (FS1)",0.9,1787
354,"December 20, 2018 Marshall vs. South Florida (Gasparilla) (ESPN)",1.1,1750
355,"December 22, 2018 Troy vs. Buffalo (Mobile) (ESPN)",1,1698
356,"December 19, 2018 Ohio vs. San Diego State (Frisco) (ESPN)",0.9,1447
357,"December 26, 2019 Boston College vs. Boise State (Dallas) (ESPN)",0.9,1445
358,"December 21, 2018 Brigham Young vs. Western Michigan (Idaho) (ESPN)",0.9,1372
359,"December 15, 2018 Middle Tennesse State vs Appalachian State (New Orleans) (ESPN)",0.8,1371
360,"December 18, 2018 Alabama Birmingham vs. Northern Illinois (Boca Raton) (ESPN)",0.8,1346
361,"December 22, 2018 Louisiana Tech vs. Hawaii (Hawaii) (ESPN)",0.75,1159
362,"January 5, 2019 North Dakota State vs Eastern Washington (FCS Champ.) (ESPN2)",0.6,1004
363,"December 15, 2018 Georgia Southern vs. Eastern Michigan (Camellia) (ESPN)",0.6,986
364,"December 15, 2018 Utah State vs. North Texas (New Mexico) (ESPN)",0.7,968
365,"December 21, 2018 Florida International vs. Toledo (Bahamas) (ESPN)",0.56,838
366,"December 14, 2018 South Dakota State vs. North Dakota State (FCS Semis) (ESON2)",0.51,846
367,"December 15, 2018 Maine vs. Eastern Washington (FCS Semis) (ESPN2)",0.28,448
